t,N,strain
0,10,A
0.005005005005005005,10.069625367516323,A
0.01001001001001001,10.139735504212828,A
0.015015015015015015,10.210333785312741,A
0.02002002002002002,10.281423609539415,A
0.025025025025025023,10.353008399279934,A
0.03003003003003003,10.42509160074988,A
0.035035035035035036,10.497676684159236,A
0.04004004004004004,10.57076714387945,A
0.04504504504504504,10.64436649861166,A
0.050050050050050046,10.718478291556089,A
0.055055055055055056,10.793106090582622,A
0.06006006006006006,10.868253488402573,A
0.06506506506506507,10.943924102741633,A
0.07007007007007007,11.020121576514049,A
0.07507507507507508,11.096849577997984,A
0.08008008008008008,11.174111801012131,A
0.08508508508508508,11.251911965093528,A
0.09009009009009009,11.330253815676626,A
0.09509509509509509,11.4091411242736,A
0.10010010010010009,11.488577688655914,A
0.10510510510510511,11.568567333037166,A
0.11011011011011011,11.64911390825717,A
0.11511511511511512,11.730221291967364,A
0.12012012012012012,11.811893388817467,A
0.12512512512512514,11.894134130643474,A
0.13013013013013014,11.976947476656925,A
0.13513513513513514,12.06033741363552,A
0.14014014014014015,12.144307956115046,A
0.14514514514514515,12.228863146582638,A
0.15015015015015015,12.314007055671404,A
0.15515515515515516,12.399743782356378,A
0.16016016016016016,12.48607745415186,A
0.16516516516516516,12.573012227310121,A
0.17017017017017017,12.660552287021492,A
0.17517517517517517,12.748701847615841,A
0.18018018018018017,12.837465152765473,A
0.18518518518518517,12.926846475689404,A
0.19019019019019018,13.0168501193591,A
0.19519519519519518,13.10748041670563,A
0.20020020020020018,13.198741730828246,A
0.20520520520520522,13.290638455204443,A
0.21021021021021022,13.383175013901463,A
0.21521521521521522,13.47635586178928,A
0.22022022022022023,13.570185484755067,A
0.22522522522522523,13.664668399919142,A
0.23023023023023023,13.75980915585245,A
0.23523523523523523,13.855612332795522,A
0.24024024024024024,13.95208254287898,A
0.24524524524524524,14.049224430345586,A
0.2502502502502503,14.1470426717738,A
0.2552552552552553,14.245541976302938,A
0.2602602602602603,14.34472708585987,A
0.2652652652652653,14.444602775387306,A
0.2702702702702703,14.545173853073672,A
0.2752752752752753,14.64644516058458,A
0.2802802802802803,14.74842157329592,A
0.2852852852852853,14.851108000528562,A
0.2902902902902903,14.954509385784704,A
0.2952952952952953,15.058630706985863,A
0.3003003003003003,15.163476976712511,A
0.3053053053053053,15.269053242445406,A
0.3103103103103103,15.375364586808564,A
0.3153153153153153,15.482416127813966,A
0.3203203203203203,15.590213019107937,A
0.3253253253253253,15.698760450219256,A
0.3303303303303303,15.80806364680898,A
0.3353353353353353,15.918127870922035,A
0.34034034034034033,16.028958421240514,A
0.34534534534534533,16.140560633338787,A
0.35035035035035034,16.25293987994036,A
0.35535535535535534,16.366101571176518,A
0.36036036036036034,16.480051154846784,A
0.36536536536536535,16.59479411668119,A
0.37037037037037035,16.710335980604356,A
0.37537537537537535,16.826682309001438,A
0.38038038038038036,16.943838702985904,A
0.38538538538538536,17.061810802669175,A
0.39039039039039036,17.18060428743216,A
0.39539539539539537,17.30022487619866,A
0.40040040040040037,17.4206783277107,A
0.40540540540540543,17.541970440805752,A
0.41041041041041043,17.66410705469591,A
0.41541541541541543,17.787094049249003,A
0.42042042042042044,17.91093734527164,A
0.42542542542542544,18.03564290479428,A
0.43043043043043044,18.16121673135823,A
0.43543543543543545,18.287664870304674,A
0.44044044044044045,18.41499340906571,A
0.44544544544544545,18.543208477457394,A
0.45045045045045046,18.672316247974877,A
0.45545545545545546,18.802322936089503,A
0.46046046046046046,18.93323480054809,A
0.46546546546546547,19.065058143674193,A
0.47047047047047047,19.19779931167153,A
0.4754754754754755,19.331464694929508,A
0.4804804804804805,19.46606072833084,A
0.4854854854854855,19.601593891561354,A
0.4904904904904905,19.738070709421926,A
0.4954954954954955,19.875497752142593,A
0.5005005005005005,20.01388163569888,A
0.5055055055055055,20.15322902213025,A
0.5105105105105106,20.2935466198609,A
0.5155155155155156,20.43484118402265,A
0.5205205205205206,20.577119516780176,A
0.5255255255255256,20.72038846765849,A
0.5305305305305306,20.864654933872664,A
0.5355355355355356,21.009925860659884,A
0.5405405405405406,21.156208241613797,A
